accident_severity,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),propulsion_code,age_of_vehicle,driver_home_area_type,NUmber_of_Casualities_unique_to_accident_index,No_of_Vehicles_involved_unique_to_accident_index,location_easting_osgr,location_northing_osgr,police_force,number_of_vehicles,number_of_casualties,day_of_week,local_authority_(district),1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
3,1,8,0,18,0,4,1,9,3,1,1,1,1,1,38,7,1997,2,9,1,6,1,415166,297985,23,1,6,7,290,3,38,3,70,1,2,1,6,0,0,4,1,1,0,0,2,1,6,2,2,20,4,3,0,0,2,0,0,8,1,5
3,1,9,0,3,0,8,0,0,0,0,2,1,6,2,37,7,1968,2,3,1,1,2,531250,167760,1,2,1,6,20,3,23,1,30,1,4,3,23,0,1,4,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,8,0,18,0,8,0,0,0,0,1,1,1,1,54,8,1598,1,8,2,1,2,526660,178400,1,2,1,5,12,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,2,9,0,2,0,0,0,0,0,0,2,1,6,3,38,7,1598,1,9,1,1,2,488319,408554,16,2,1,4,232,4,1450,6,30,0,4,6,0,0,0,1,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,9,0,16,0,0,2,0,7,9,1,1,6,2,25,5,1149,1,14,1,1,1,467825,206016,43,1,1,1,484,6,232,6,60,0,4,6,0,0,0,1,1,2,0,0,2,1,1,1,2,25,5,3,0,0,0,0,0,9,1,5
3,2,9,0,17,0,8,0,0,0,0,1,1,6,1,38,7,1599,1,12,1,1,2,553350,190540,1,2,1,4,15,3,12,1,30,1,4,5,0,0,0,1,1,1,0,0,1,2,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,9,0,18,0,0,5,0,1,0,1,1,6,2,18,4,1598,1,8,2,2,1,464971,250237,34,1,2,3,385,5,2,6,60,0,4,6,0,0,0,1,1,1,0,0,2,1,1,1,2,18,4,3,0,0,0,0,0,9,2,10
3,1,9,0,18,0,0,0,0,0,0,4,1,6,1,72,10,1198,1,2,1,1,1,614920,157800,46,1,1,3,531,6,3107,6,20,0,4,6,0,0,0,1,1,2,0,0,1,1,1,3,1,34,6,3,9,7,0,0,0,0,3,5
3,1,9,0,2,0,0,0,0,0,0,1,1,6,1,25,5,1998,2,7,1,2,2,408421,283967,20,2,2,2,300,6,0,6,30,0,4,6,0,0,0,1,1,1,0,0,1,2,1,1,1,25,5,3,0,0,0,0,0,9,1,2
3,1,9,0,2,0,1,0,0,0,0,3,1,6,2,44,7,1198,1,1,1,1,2,533280,180720,48,2,1,2,570,5,0,6,30,3,2,5,0,0,5,1,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,9,0,18,0,0,1,0,2,6,1,1,6,2,30,6,1461,2,6,1,2,2,382150,411310,6,2,2,7,101,1,66,3,70,0,4,6,0,0,0,1,2,2,0,0,1,1,1,1,2,30,6,3,0,0,0,0,0,9,1,8
3,1,9,0,9,0,2,0,0,0,0,3,1,2,1,19,4,1360,1,14,1,2,2,526050,148701,45,2,2,3,513,6,1298,6,30,3,4,3,2044,0,0,1,2,2,0,0,1,1,1,1,1,19,4,3,0,0,0,0,0,9,1,10
3,1,9,0,16,0,0,5,0,1,4,1,1,6,1,24,5,1299,1,13,1,3,1,498392,487668,12,1,3,6,186,5,71,6,60,0,4,6,0,0,0,6,1,2,0,0,2,1,1,1,1,24,5,3,0,0,0,0,0,9,1,6
3,2,9,0,2,0,1,0,0,0,0,2,1,6,2,26,6,1497,8,8,1,1,2,536130,175720,1,2,1,3,7,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,9,0,16,0,0,2,0,8,10,1,1,6,1,18,4,1388,1,11,1,1,1,421324,258302,23,1,1,5,293,6,0,6,60,0,4,6,0,0,0,6,8,2,0,0,2,1,1,2,2,19,4,3,0,0,1,0,0,9,3,7
2,1,3,0,17,0,0,0,0,2,10,1,1,6,1,15,3,1598,1,8,1,2,1,388460,447460,4,1,2,3,77,6,0,6,30,0,4,6,0,0,0,6,1,1,0,0,1,1,1,1,1,15,3,2,0,0,0,0,0,3,1,8
3,2,9,0,18,0,8,0,0,7,11,3,1,6,1,70,10,2231,2,9,3,3,2,448300,476486,12,2,3,2,181,3,19,6,60,6,4,5,99,0,0,1,1,2,0,0,2,1,2,2,2,68,10,3,0,0,1,0,0,9,3,8
3,3,9,0,2,0,8,0,0,0,0,3,1,6,2,30,6,1229,1,2,1,1,3,359420,406050,6,3,1,7,114,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
2,1,9,0,18,0,2,0,0,0,0,1,1,6,1,42,7,2300,1,18,1,2,1,432380,278950,20,1,2,7,302,4,4101,6,30,3,4,6,0,0,4,4,2,2,0,0,1,1,1,3,2,72,10,2,2,1,0,0,0,0,1,5
3,1,9,0,18,0,1,1,0,1,1,1,1,6,2,43,7,1587,1,19,2,3,1,265782,100383,50,1,3,4,589,3,3072,6,30,3,4,3,3072,0,0,1,5,2,0,0,2,1,1,1,2,43,7,3,0,0,0,0,0,9,2,4
3,1,9,0,18,0,0,0,0,0,0,4,1,6,1,38,7,1598,1,8,1,2,1,474512,249741,34,1,2,7,385,6,4120,6,30,0,4,6,0,0,0,1,1,1,0,0,2,1,2,3,2,16,4,3,5,1,0,0,0,0,1,7
3,2,9,0,3,0,1,0,0,0,0,3,1,6,1,69,10,1560,2,4,1,4,3,638750,167020,46,3,4,4,541,3,255,6,30,8,4,6,0,0,0,4,1,1,0,0,1,1,3,2,2,9,2,3,0,0,1,0,0,9,1,4
3,1,9,0,14,0,0,0,0,0,0,1,1,6,1,26,6,1229,1,1,1,1,2,569815,207205,42,2,1,1,454,6,0,6,30,0,4,6,0,0,0,1,1,1,0,0,1,1,1,2,1,3,1,3,0,0,1,0,0,9,1,5
3,1,3,0,18,0,3,0,0,0,0,3,1,6,3,38,7,1598,1,8,1,1,2,433769,563507,10,2,1,6,149,3,194,1,30,1,2,3,19,0,0,1,1,1,0,0,2,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,9,0,5,0,3,1,10,1,0,3,1,2,2,32,6,1587,1,16,1,1,1,635460,165030,46,1,1,3,541,3,299,1,50,1,2,6,0,0,0,1,2,2,0,0,2,1,1,1,2,32,6,3,0,0,0,0,0,9,1,4
2,1,19,0,18,0,8,0,0,0,0,3,1,6,2,59,9,1598,1,8,3,1,2,429985,107596,44,2,1,4,496,3,337,6,30,6,4,3,35,0,0,6,1,1,0,0,2,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,9,0,7,0,8,0,0,0,0,3,1,6,1,18,4,2967,2,1,1,1,2,425998,97840,44,2,1,1,496,6,0,6,30,8,4,6,0,0,0,1,1,1,0,0,2,2,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,9,0,4,0,0,0,0,0,0,2,1,6,2,45,7,1968,2,2,3,1,2,341014,153981,52,2,1,3,607,3,38,6,50,0,4,6,0,0,0,1,1,1,0,0,2,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
